,カード名,種類,☆,属性,種族,攻撃力,守備力,パスワード,効果・説明
441,ドラグニティナイト-バルーチャ,S効果,8,風,ドラゴン,2000,1200,25682811,ドラゴン族チューナー＋チューナー以外の鳥獣族モンスター１体以上このカードがシンクロ召喚に成功した時、自分の墓地に存在する「ドラグニティ」と名のついたドラゴン族モンスターを任意の数だけ選択し、装備カード扱いとしてこのカードに装備する事ができる。このカードの攻撃力は、このカードに装備された「ドラグニティ」と名のついたカードの枚数×３００ポイントアップする。
442,氷結界の龍 トリシューラ【制限カード】,S効果,9,水,ドラゴン,2700,2000,52687916,チューナー＋チューナー以外のモンスター２体以上(1)：このカードがＳ召喚に成功した時に発動できる。相手の手札・フィールド・墓地のカードをそれぞれ１枚まで選んで除外できる。
443,簡易融合,通常魔法,,,,,,01845204,「簡易融合」は１ターンに１枚しか発動できない。(1)：１０００ＬＰを払って発動できる。レベル５以下の融合モンスター１体を融合召喚扱いとしてエクストラデッキから特殊召喚する。この効果で特殊召喚したモンスターは攻撃できず、エンドフェイズに破壊される。
444,融合解除,速攻魔法,,,,,,95286165,(1)：フィールドの融合モンスター１体を対象として発動できる。その融合モンスターを持ち主のエクストラデッキに戻す。その後、エクストラデッキに戻したそのモンスターの融合召喚に使用した融合素材モンスター一組が自分の墓地に揃っていれば、その一組を自分フィールドに特殊召喚できる。
445,死者転生,通常魔法,,,,,,74848038,(1)：手札を１枚捨て、自分の墓地のモンスター１体を対象として発動できる。そのモンスターを手札に加える。
446,アサルト・アーマー,装備魔法,,,,,,88190790,自分フィールド上に存在するモンスターが戦士族モンスター１体のみの場合、そのモンスターに装備する事ができる。装備モンスターの攻撃力は３００ポイントアップする。装備されているこのカードを墓地へ送る事で、このターン装備モンスターは１度のバトルフェイズ中に２回攻撃する事ができる。
447,ヘイト・バスター,通常罠,,,,,,93895605,(1)：自分の悪魔族モンスターが攻撃対象に選択された時、攻撃モンスター１体とその攻撃対象モンスター１体を対象として発動できる。その攻撃モンスターとその攻撃対象モンスターの２体を破壊し、破壊した攻撃モンスターの元々の攻撃力分のダメージを相手に与える。
448,ダスト・シュート【禁止カード】,通常罠,,,,,,64697231,相手の手札が４枚以上の場合に発動する事ができる。相手の手札を確認してモンスターカード１枚を選択し、そのカードを持ち主のデッキに戻す。
449,鳳翼の爆風,通常罠,,,,,,63356631,手札を１枚捨て、相手フィールド上のカード１枚を選択して発動できる。選択した相手のカードを持ち主のデッキの一番上に戻す。
450,魔封じの芳香,永続罠,,,,,,58921041,(1)：このカードが魔法＆罠ゾーンに存在する限り、お互いに魔法カードはセットしなければ発動できず、セットしたプレイヤーから見て次の自分ターンが来るまで発動できない。
451,ＢＦ-熱風のギブリ,効果,3,闇,鳥獣,0,1600,26775203,相手が直接攻撃を宣言した時、このカードを手札から特殊召喚する事ができる。１ターンに１度、このカードの元々の攻撃力・守備力をエンドフェイズ時まで入れ替える事ができる。
452,ＢＦ-逆風のガスト,効果,2,闇,鳥獣,900,1400,52869807,自分フィールド上にカードが存在しない場合、このカードは手札から特殊召喚する事ができる。このカードがフィールド上に表側表示で存在する限り、相手モンスターが自分フィールド上に存在する「ＢＦ」と名のついたモンスターを攻撃する場合、その攻撃モンスターはダメージステップの間攻撃力が３００ポイントダウンする。
453,ＢＦ-そよ風のブリーズ,ﾁｭｰﾅｰ効果,3,闇,鳥獣,1100,300,89258906,このカードがカードの効果によって自分のデッキから手札に加わった場合、このカードを手札から特殊召喚できる。このカードをシンクロ素材とする場合、「ＢＦ」と名のついたモンスターのシンクロ召喚にしか使用できない。
454,チェンジ・シンクロン,ﾁｭｰﾅｰ効果,1,闇,機械,0,0,25652655,このカードがシンクロモンスターのシンクロ召喚に使用され墓地へ送られた場合、相手フィールド上に存在するモンスター１体を選択して表示形式を変更する。
455,カード・ブレイカー,効果,2,光,戦士,100,900,51047350,このカードは通常召喚できない。自分の魔法＆罠カードゾーンに存在するカード１枚を墓地へ送った場合に表側攻撃表示で特殊召喚する事ができる。
456,セカンド・ブースター,効果,3,炎,機械,1000,500,88032368,このカードをリリースし、自分フィールド上に表側攻撃表示で存在するモンスター１体を選択して発動する。選択したモンスターの攻撃力は、エンドフェイズ時まで１５００ポイントアップする。
457,インターセプト・デーモン,効果,4,闇,悪魔,1400,1600,14430063,このカードが自分フィールド上に表側攻撃表示で存在する限り、相手モンスターの攻撃宣言時、相手ライフに５００ポイントダメージを与える。
458,ドレッド・ドラゴン,ﾁｭｰﾅｰ効果,2,炎,ドラゴン,1100,400,51925772,このカードが戦闘によって破壊され墓地へ送られた時、自分のデッキからレベル３以下のドラゴン族モンスター１体を手札に加える事ができる。
459,トラスト・ガーディアン,ﾁｭｰﾅｰ効果,3,光,天使,0,800,87319876,このカードをシンクロ素材とする場合、レベル７以上のシンクロモンスターのシンクロ召喚にしか使用できない。このカードをシンクロ素材としたシンクロモンスターは、１ターンに１度だけ戦闘では破壊されない。この効果を適用したダメージステップ終了時、そのシンクロモンスターの攻撃力・守備力は４００ポイントダウンする。
460,フレア・リゾネーター,ﾁｭｰﾅｰ効果,3,炎,悪魔,300,1300,13708425,このカードをシンクロ素材としたシンクロモンスターの攻撃力は３００ポイントアップする。
461,シンクロ・マグネーター,ﾁｭｰﾅｰ効果,3,地,機械,1000,600,50702124,このカードは通常召喚できない。自分がシンクロモンスターのシンクロ召喚に成功した時、このカードを手札から特殊召喚する事ができる。
462,インフェルニティ・ミラージュ,効果,1,闇,悪魔,0,0,86197239,このカードは墓地からの特殊召喚はできない。自分の手札が０枚の場合、このカードをリリースし、自分の墓地の「インフェルニティ」と名のついたモンスター２体を選択して発動できる。選択したモンスターを特殊召喚する。
463,インフェルニティ・リローダー,効果,1,闇,戦士,900,0,13582837,自分の手札が０枚の場合、１ターンに１度、自分のデッキからカードを１枚ドローする事ができる。この効果でドローしたカードをお互いに確認し、モンスターカードだった場合、そのモンスターのレベル×２００ポイントダメージを相手ライフに与える。魔法・罠カードだった場合、自分は５００ポイントダメージを受ける。
464,インフェルニティ・ビートル,ﾁｭｰﾅｰ効果,2,闇,昆虫,1200,0,49080532,自分の手札が０枚の場合、このカードをリリースする事で、デッキから「インフェルニティ・ビートル」を２体まで特殊召喚する。
465,インフェルニティ・リベンジャー,ﾁｭｰﾅｰ効果,1,闇,悪魔,0,0,85475641,このカードが墓地に存在し、自分の手札が０枚の場合、「インフェルニティ・リベンジャー」以外の自分フィールド上のモンスターが相手モンスターとの戦闘によって破壊され自分の墓地へ送られた時、このカードを墓地から特殊召喚できる。この効果で特殊召喚したこのカードは、その戦闘によって破壊された自分のモンスターの元々のレベルと同じレベルになる。
466,返り咲く薔薇の大輪,効果,4,闇,植物,1300,1300,12469386,自分フィールド上に存在するレベル５以上の植物族モンスターが破壊された場合、墓地に存在するこのカードを自分フィールド上に特殊召喚する事ができる。
467,Ｄ・クリーナン,効果,1,風,機械,0,0,48868994,このカードはこのカードの表示形式によって以下の効果を得る。●攻撃表示：１ターンに１度、このカードに装備された装備カード１枚を墓地へ送る事で、相手ライフに５００ポイントダメージを与える。●守備表示：１ターンに１度、相手フィールド上に表側攻撃表示で存在するモンスター１体を選択し、装備カード扱いとしてこのカードに１体のみ装備できる。
468,ローズ・バード,効果,4,風,植物,1800,1500,75252099,自分フィールド上に表側攻撃表示で存在するこのカードが相手モンスターの攻撃によって破壊され墓地へ送られた時、デッキから植物族チューナー２体を表側守備表示で特殊召喚できる。
469,スポーア,ﾁｭｰﾅｰ効果,1,風,植物,400,800,11747708,このカードが墓地に存在する場合、このカード以外の自分の墓地の植物族モンスター１体をゲームから除外して発動できる。このカードを墓地から特殊召喚し、この効果を発動するために除外したモンスターのレベル分だけこのカードのレベルを上げる。「スポーア」の効果はデュエル中に１度しか使用できない。
470,フェアリー・アーチャー,効果,3,光,天使,1400,600,48742406,自分のメインフェイズ時に発動できる。自分フィールド上の光属性モンスターの数×４００ポイントダメージを相手ライフに与える。「フェアリーアーチャー」の効果は１ターンに１度しか使用できず、この効果を発動するターン、このカードは攻撃できない。
471,バイオファルコン,効果,4,光,機械,1700,1200,74130411,このカードがフィールド上に表側表示で存在する場合に自分フィールド上の機械族モンスターが戦闘によって破壊され墓地へ送られた時、デッキから攻撃力１０００以下の機械族モンスター１体を手札に加える事ができる。
472,プチトマボー,ﾁｭｰﾅｰ効果,2,闇,植物,700,400,00525110,このカードが戦闘によって破壊され墓地へ送られた時、デッキから「トマボー」と名のついたモンスターを２体まで特殊召喚できる。このターン、この効果で特殊召喚したモンスターはシンクロ素材にできない。
473,マジドッグ,効果,4,光,魔法使い,1700,1000,47929865,このカードが魔法使い族モンスターのシンクロ召喚に使用され墓地へ送られた場合、自分の墓地に存在するフィールド魔法カード１枚を選択して手札に加える事ができる。
474,光霊使いライナ,ﾘﾊﾞｰｽ,3,光,魔法使い,500,1500,73318863,リバース：このカードがフィールド上に表側表示で存在する限り、相手フィールド上の光属性モンスター１体を選択してコントロールを得る。
475,エレキリン,効果,4,光,雷,1200,100,00402568,このカードは相手プレイヤーに直接攻撃する事ができる。このカードが直接攻撃によって相手ライフに戦闘ダメージを与えた時、相手はこのターンのエンドフェイズ時まで魔法・罠・効果モンスターの効果を発動する事ができない。
476,エレキツネ,ﾁｭｰﾅｰ効果,2,光,雷,800,100,46897277,このカードが相手によって破壊された場合、そのターン相手はモンスターの特殊召喚及び魔法・罠・効果モンスターの効果を発動する事ができない。
477,エレキツツキ,効果,3,光,雷,1000,100,12296376,このカードは１度のバトルフェイズ中に２回攻撃する事ができる。このカードと戦闘を行ったモンスターは表示形式を変更する事ができない。
478,コアキメイル・サンドマン,効果,4,地,岩石,1900,1200,49680980,このカードのコントローラーは自分のエンドフェイズ毎に、手札から「コアキメイルの鋼核」１枚を墓地へ送るか、手札の岩石族モンスター１体を相手に見せる。または、どちらも行わずにこのカードを破壊する。また、相手の罠カードが発動した時、このカードをリリースして発動できる。その発動を無効にし破壊する。
479,記憶破壊王,効果,5,闇,悪魔,2000,0,75675029,このカードが直接攻撃によって相手ライフに戦闘ダメージを与えた時、相手の墓地に存在するシンクロモンスターを全てゲームから除外し、その数×１０００ポイントダメージを相手ライフに与える。
480,デルタトライ,効果,4,光,機械,1200,1000,12079734,このカードが戦闘によって相手モンスターを破壊した場合、次の効果から１つを選択して発動する。●自分の墓地に存在する装備可能なユニオンモンスター１体を選択してこのカードに装備する。●自分フィールド上に表側表示で存在する機械族・光属性モンスター１体を選択してデッキに戻し、自分のデッキからカードを１枚ドローする。
481,トライゴン,ﾕﾆｵﾝ,3,炎,ドラゴン,500,1700,48568432,１ターンに１度、自分のメインフェイズ時に装備カード扱いとして自分フィールド上の機械族モンスターに装備、または装備を解除して表側攻撃表示で特殊召喚する事ができる。この効果で装備カード扱いになっている場合のみ、装備モンスターが戦闘によって相手モンスターを破壊した場合、自分の墓地から機械族・光属性・レベル４以下のモンスター１体を選択して特殊召喚する。（１体のモンスターが装備できるユニオンは１枚まで。装備モンスターが破壊される場合、代わりにこのカードを破壊する。）
482,かつて神と呼ばれた亀,効果,1,水,水,0,1800,74952447,このカードがフィールド上に表側表示で存在する限り、お互いに攻撃力１８００以上のモンスターを特殊召喚できない。
483,粋カエル,効果,2,水,水,100,2000,01357146,このカードのカード名は、フィールド上に表側表示で存在する限り「デスガエル」として扱う。また、自分の墓地の「ガエル」と名のついたモンスター１体をゲームから除外する事で、このカードを墓地から特殊召喚する。このカードはシンクロ素材にできない。
484,電池メン-単四型,効果,4,光,雷,0,0,47346845,このカードが召喚・リバースした時、自分の手札・墓地から「電池メン-単四型」１体を選んで特殊召喚できる。
485,燃料電池メン,効果,6,光,雷,2100,0,74730899,自分フィールド上に「電池メン」と名のついたモンスターが２体以上存在する場合、このカードは手札から特殊召喚できる。１ターンに１度、このカード以外の自分フィールド上の「電池メン」と名のついたモンスター１体をリリースして発動できる。相手フィールド上のカード１枚を選択して持ち主の手札に戻す。
486,キーマウス,ﾁｭｰﾅｰ効果,1,地,獣,100,100,00135598,このカードが戦闘によって破壊され墓地へ送られた時、デッキからレベル３以下の獣族モンスター１体を手札に加える事ができる。
487,Ａ・Ｏ・Ｊ コアデストロイ,効果,3,闇,機械,1200,200,36629203,このカードが光属性モンスターと戦闘を行う場合、ダメージ計算を行わずそのモンスターを破壊する。
488,黒羽を狩る者,効果,4,光,獣戦士,1700,1000,73018302,相手フィールド上にモンスターが表側表示で２体以上存在し、そのモンスターの種族が全て同じ場合、手札を１枚墓地へ送る事で、相手フィールド上に表側表示で存在するモンスター１体を選択して破壊する。
489,神光の宣告者,儀式効果,6,光,天使,1800,2800,44665365,「宣告者の預言」により降臨。手札から天使族モンスター１体を墓地へ送って発動できる。相手の効果モンスターの効果・魔法・罠カードの発動を無効にし破壊する。
490,ブラックフェザー・ドラゴン,S効果,8,闇,ドラゴン,2800,1600,09012916,チューナー＋チューナー以外のモンスター１体以上自分がカードの効果によってダメージを受ける場合、代わりにこのカードに黒羽カウンターを１つ置く。このカードの攻撃力は、このカードに乗っている黒羽カウンターの数×７００ポイントダウンする。また、１ターンに１度、このカードに乗っている黒羽カウンターを全て取り除く事で、相手フィールド上に表側表示で存在するモンスター１体を選択し、その攻撃力を取り除いた黒羽カウンターの数×７００ポイントダウンし、ダウンした数値分のダメージを相手ライフに与える。
491,デーモン・カオス・キング,S効果,7,闇,悪魔,2600,2600,36407615,悪魔族チューナー＋チューナー以外のモンスター１体以上このカードの攻撃宣言時、相手フィールド上の全てのモンスターの攻撃力・守備力をバトルフェイズ終了時まで入れ替える事ができる。
492,インフェルニティ・デス・ドラゴン,S効果,8,闇,ドラゴン,3000,2400,72896720,闇属性チューナー＋チューナー以外のモンスター１体以上自分の手札が０枚の場合、１ターンに１度、相手フィールド上のモンスター１体を選択して発動できる。選択した相手モンスターを破壊し、破壊したモンスターの攻撃力の半分のダメージを相手ライフに与える。この効果を発動するターン、このカードは攻撃できない。
493,スプレンディッド・ローズ,S効果,6,風,植物,2200,2000,04290468,チューナー＋チューナー以外のモンスター１体以上１ターンに１度、自分の墓地の植物族モンスター１体をゲームから除外して発動できる。相手フィールド上のモンスター１体を選択し、その攻撃力をエンドフェイズ時まで半分にする。また、このカードが攻撃したバトルフェイズ中に、自分の墓地の植物族モンスター１体をゲームから除外して発動できる。このカードの攻撃力をエンドフェイズ時まで半分にし、そのバトルフェイズ中、このカードはもう１度だけ攻撃できる。
494,カオス・ゴッデス-混沌の女神-,S効果,8,光,天使,2500,1800,31385077,光属性チューナー＋チューナー以外の闇属性モンスター２体以上１ターンに１度、手札から光属性モンスター１体を墓地へ送り、自分の墓地のレベル５以上の闇属性モンスター１体を選択して発動できる。選択したモンスターを特殊召喚する。この効果で特殊召喚したモンスターはシンクロ素材にできない。
495,ブラックフェザー・シュート,通常魔法,,,,,,67779172,手札から「ＢＦ」と名のついたモンスター１体を墓地へ送り、相手フィールド上に守備表示で存在するモンスター１体を選択して発動する。選択したモンスターを墓地へ送る。
496,黒羽の宝札,通常魔法,,,,,,04168871,手札の「ＢＦ」と名のついたモンスター１体をゲームから除外して発動できる。デッキからカードを２枚ドローする。「黒羽の宝札」は１ターンに１枚しか発動できず、このカードを発動するターン、自分はモンスターを特殊召喚できない。
497,ＺＥＲＯ-ＭＡＸ,通常魔法,,,,,,30562585,自分の手札が０枚の場合、自分の墓地に存在する「インフェルニティ」と名のついたモンスター１体を選択して発動する事ができる。選択したモンスターを特殊召喚し、特殊召喚したモンスターの攻撃力より低い攻撃力を持つ、フィールド上に表側表示で存在するモンスターを全て破壊する。このカードを発動するターン、自分はバトルフェイズを行う事ができない。
498,インフェルニティガン【制限カード】,永続魔法,,,,,,66957584,１ターンに１度、手札から「インフェルニティ」と名のついたモンスター１体を墓地へ送る事ができる。また、自分の手札が０枚の場合、フィールド上のこのカードを墓地へ送る事で、自分の墓地の「インフェルニティ」と名のついたモンスターを２体まで選択して特殊召喚する。
499,無の煉獄,通常魔法,,,,,,93946239,自分の手札が３枚以上の場合に発動できる。自分のデッキからカードを１枚ドローし、このターンのエンドフェイズ時に自分の手札を全て捨てる。
500,妨害電波,速攻魔法,,,,,,39440937,フィールド上にシンクロモンスターが表側攻撃表示で存在する場合に発動できる。フィールド上のシンクロモンスターを全て表側守備表示にする。このターンのエンドフェイズ時にフィールド上のシンクロモンスターを全てエクストラデッキに戻す。
501,奇跡のピラミッド,永続魔法,,,,,,66835946,自分フィールド上に表側表示で存在するアンデット族モンスターの攻撃力は、相手フィールド上に存在するモンスターの数×２００ポイントアップする。自分フィールド上に表側表示で存在するアンデット族モンスター１体が破壊される場合、代わりにこのカードを墓地へ送る事ができる。
502,天空の泉,永続魔法,,,,,,92223641,光属性モンスターが戦闘によって破壊され自分の墓地へ送られた時、そのモンスター１体をゲームから除外する事で、そのモンスターの攻撃力分だけ自分のライフポイントを回復する。
503,ドラゴンレーザー,速攻魔法,,,,,,29228350,自分フィールド上に表側表示で存在する「デルタトライ」に装備された「トライゴン」１体を墓地へ送り、相手フィールド上に存在するモンスターを全て破壊する。
504,エレキューブ,装備魔法,,,,,,65612454,雷族モンスターにのみ装備可能。装備モンスターの攻撃力は、自分の墓地に存在する雷族モンスターの数×１００ポイントアップする。また、フィールド上に表側表示で存在するこのカードを墓地へ送る事で、自分フィールド上に表側表示で存在する雷族モンスター１体の攻撃力は１０００ポイントアップする。
505,電磁シールド,永続魔法,,,,,,91107093,自分フィールド上に表側守備表示で存在するレベル３以下の雷族モンスターは戦闘では破壊されない。自分フィールド上にモンスターが表側攻撃表示で存在する場合、このカードを破壊する。
506,ワーム・コール,永続魔法,,,,,,28506708,相手フィールド上にモンスターが存在し、自分フィールド上にモンスターが存在しない場合、手札から「ワーム」と名のついた爬虫類族モンスター１体を裏側守備表示で特殊召喚する事ができる。この効果は１ターンに１度しか使用できない。
507,氷結界の三方陣,通常魔法,,,,,,64990807,手札の「氷結界」と名のついたモンスター３種類を相手に見せ、相手フィールド上に存在するカード１枚を選択して発動する。選択した相手のカードを破壊し、自分の手札から「氷結界」と名のついたモンスター１体を特殊召喚する。
508,鋼核初期化,速攻魔法,,,,,,91985515,自分フィールド上に存在する「コアキメイル」と名のついたモンスター１体をリリースして発動する。自分のデッキ・墓地から「コアキメイルの鋼核」１枚を手札に加える。
509,宣告者の預言,儀式魔法,,,,,,27383110,「神光の宣告者」の降臨に必要。自分の手札・フィールド上から、レベルの合計が６になるようにモンスターをリリースしなければならない。このカードの効果によって「神光の宣告者」が儀式召喚に成功した時、自分の墓地のこのカードをゲームから除外する事で、その儀式召喚のためにリリースしたモンスター１体を選択し、自分の墓地から手札に戻す。
510,墓地封印,速攻魔法,,,,,,53778229,手札を１枚捨てて発動する。このターン墓地で発動する効果は無効化される。
511,シャイニング・アブソーブ,通常魔法,,,,,,90263923,相手フィールド上に表側表示で存在する光属性モンスター１体を選択して発動する。自分フィールド上に表側攻撃表示で存在する全てのモンスターの攻撃力はエンドフェイズ時まで、選択したモンスターの攻撃力分アップする。
512,苦痛の回廊,永続魔法,,,,,,26257572,このカードがフィールド上に存在する限り、デッキから特殊召喚されたモンスターは、フィールド上に表側表示で存在する限り効果を発動できず無効化され、攻撃宣言できない。
513,パワー・フレーム,通常罠,,,,,,53656677,自分フィールド上に表側表示で存在するモンスターが、その攻撃力よりも高い攻撃力を持つモンスターの攻撃対象に選択された時に発動する事ができる。その攻撃を無効にし、このカードを攻撃対象モンスター１体に装備する。装備モンスターの攻撃力は、その時の攻撃モンスターと攻撃対象モンスターの攻撃力の差の数値分アップする。
514,ＢＦ-バックフラッシュ,通常罠,,,,,,89040386,自分の墓地に「ＢＦ」と名のついたモンスターが５体以上存在する場合、相手モンスターの直接攻撃宣言時に発動する事ができる。相手フィールド上に存在するモンスターを全て破壊する。
515,ＢＦ-アンカー,通常罠,,,,,,25435080,「ＢＦ」と名のついたモンスター１体をリリースし、自分フィールド上に表側表示で存在するシンクロモンスター１体を選択して発動する。選択したモンスターの攻撃力はエンドフェイズ時まで、このカードを発動するためにリリースしたモンスターの攻撃力分アップする。
516,ブラック・サンダー,通常罠,,,,,,52833089,自分フィールド上に存在する「ＢＦ」と名のついたモンスターが戦闘によって破壊され墓地へ送られた時に発動する事ができる。相手フィールド上に存在するカード１枚につき、相手ライフに４００ポイントダメージを与える。
517,ボム・ガード,通常罠,,,,,,88928798,「自分フィールド上に存在するモンスター１体を破壊する効果」を持つカードが発動した時に発動する事ができる。その発動を無効にし破壊する。さらに相手ライフに５００ポイントダメージを与える。
518,インフェルニティ・リフレクター,通常罠,,,,,,15313433,自分フィールド上に存在する「インフェルニティ」と名のついたモンスターが戦闘によって破壊され墓地へ送られた時、手札を全て捨てて発動する事ができる。そのモンスター１体を自分の墓地から特殊召喚し、相手ライフに１０００ポイントダメージを与える。
519,インフェルニティ・ブレイク,通常罠,,,,,,51717541,自分の手札が０枚の場合に発動できる。自分の墓地の「インフェルニティ」と名のついたカード１枚を選択してゲームから除外し、相手フィールド上のカード１枚を選択して破壊する。
520,ダメージ・ゲート,通常罠,,,,,,87106146,自分が戦闘ダメージを受けた時に発動できる。その時に受けたダメージの数値以下の攻撃力を持つ、自分の墓地のモンスター１体を選択して特殊召喚する。
521,インフェルニティ・インフェルノ,通常罠,,,,,,14550855,自分の手札を２枚まで捨てる。その後、この効果で捨てた枚数分だけデッキから「インフェルニティ」と名のついたカードを墓地へ送る。
522,ハンドレス・フェイク,永続罠,,,,,,40555959,自分フィールド上に「インフェルニティ」と名のついたモンスターが表側表示で存在する場合、１ターンに１度だけ、次の自分のスタンバイフェイズ時まで自分の手札を全て裏側表示でゲームから除外する事ができる。
523,アサルト・スピリッツ,通常罠,,,,,,87043568,発動後このカードは装備カードとなり、自分フィールド上に存在するモンスター１体に装備する。装備モンスターが攻撃する場合、そのダメージステップ時に手札から攻撃力１０００以下のモンスター１体を墓地へ送る事で、装備モンスターの攻撃力はエンドフェイズ時まで、墓地へ送ったモンスターの攻撃力分アップする。この効果は１ターンに１度しか使用できない。
524,ブロッサム・ボンバー,通常罠,,,,,,13438207,自分フィールド上に存在する植物族モンスターが戦闘によって相手モンスターを破壊し墓地へ送った時に発動する事ができる。その戦闘で破壊したモンスターの攻撃力分のダメージを相手ライフに与える。
525,Ｄ・スクランブル,通常罠,,,,,,49833312,相手が直接攻撃を宣言した時、自分フィールド上にモンスターが存在しない場合に発動する事ができる。その攻撃を無効にし、手札から「Ｄ」と名のついたモンスター１体を特殊召喚する。
526,パワー・ブレイク,通常罠,,,,,,86821010,自分フィールド上に「パワー・ツール・ドラゴン」が表側表示で存在する場合に発動する事ができる。自分のフィールド上・墓地に存在する装備カードを３枚まで選択してデッキに戻し、戻した数×５００ポイントダメージを相手ライフに与える。
527,コアキメイルの障壁,通常罠,,,,,,12216615,自分の墓地に「コアキメイルの鋼核」が２枚以上存在する場合、相手モンスターの攻撃宣言時に発動する事ができる。相手フィールド上に表側攻撃表示で存在するモンスターを全て破壊する。
528,異次元への隙間,通常罠,,,,,,49600724,属性を１つ宣言し、お互いの墓地に存在する宣言した属性のモンスターを合計２体選択して発動する。選択したモンスターをゲームから除外する。
529,シンクロ・イジェクション,通常罠,,,,,,75105429,相手フィールド上に表側表示で存在するシンクロモンスター１体を選択してゲームから除外し、相手はデッキからカードを１枚ドローする。
530,混沌の落とし穴,ｶｳﾝﾀｰ罠,,,,,,11593137,２０００ライフポイントを払って発動できる。光属性または闇属性モンスターの召喚・反転召喚・特殊召喚を無効にしゲームから除外する。
531,マシンナーズ・フォートレス,効果,7,地,機械,2500,1600,05556499,このカードは手札の機械族モンスターをレベルの合計が８以上になるように捨てて、手札または墓地から特殊召喚する事ができる。このカードが戦闘によって破壊され墓地へ送られた時、相手フィールド上に存在するカード１枚を選択して破壊する。また、自分フィールド上に表側表示で存在するこのカードが相手の効果モンスターの効果の対象になった時、相手の手札を確認して１枚捨てる。
532,マシンナーズ・ギアフレーム,ﾕﾆｵﾝ,4,地,機械,1800,0,42940404,このカードが召喚に成功した時、自分のデッキから「マシンナーズ・ギアフレーム」以外の「マシンナーズ」と名のついたモンスター１体を手札に加える事ができる。１ターンに１度、自分のメインフェイズ時に装備カード扱いとして自分フィールド上の機械族モンスターに装備、または装備を解除して表側攻撃表示で特殊召喚する事ができる。（１体のモンスターが装備できるユニオンは１枚まで。装備モンスターが破壊される場合、代わりにこのカードを破壊する。）
533,マシンナーズ・ピースキーパー,ﾕﾆｵﾝ,2,地,機械,500,400,78349103,フィールド上に存在するこのカードが破壊され墓地へ送られた時、自分のデッキからユニオンモンスター１体を手札に加える事ができる。１ターンに１度、自分のメインフェイズ時に装備カード扱いとして自分フィールド上の機械族モンスターに装備、または装備を解除して表側攻撃表示で特殊召喚する事ができる。（１体のモンスターが装備できるユニオンは１枚まで。装備モンスターが破壊される場合、代わりにこのカードを破壊する。）
534,スクラップ・リサイクラー,効果,3,地,機械,900,1200,04334811,このカードが召喚・特殊召喚に成功した時、自分のデッキから機械族モンスター１体を選択して墓地へ送る事ができる。１ターンに１度、自分の墓地に存在する機械族・地属性・レベル４モンスター２体をデッキに戻す事で、自分のデッキからカードを１枚ドローする。
535,督戦官コヴィントン,効果,4,地,機械,1000,600,22666164,自分フィールド上に表側表示で存在する「マシンナーズ・ソルジャー」「マシンナーズ・スナイパー」「マシンナーズ・ディフェンダー」をそれぞれ１体ずつ墓地へ送る事で、手札またはデッキから「マシンナーズ・フォース」１体を特殊召喚する。
536,マシンナーズ・ソルジャー,効果,4,地,機械,1600,1500,60999392,自分フィールド上にモンスターが存在しない場合にこのカードが召喚に成功した時、手札から「マシンナーズ・ソルジャー」以外の「マシンナーズ」と名のついたモンスター１体を特殊召喚する事ができる。
537,マシンナーズ・スナイパー,効果,4,地,機械,1800,800,23782705,このカードがフィールド上に表側表示で存在する限り、「マシンナーズ・スナイパー」以外の「マシンナーズ」と名のついたモンスターを攻撃する事ができない。
538,マシンナーズ・ディフェンダー,ﾘﾊﾞｰｽ,4,地,機械,1200,1800,96384007,リバース：自分のデッキから「督戦官コヴィントン」１体を手札に加える。
539,マシンナーズ・フォース,効果,10,地,機械,4600,4100,58054262,このカードは通常召喚できない。「督戦官コヴィントン」の効果でのみ特殊召喚する事ができる。このカードは、１０００ライフポイント払わなければ攻撃宣言をする事ができない。フィールド上に存在するこのカードを墓地へ送る事で、自分の墓地から「マシンナーズ・ソルジャー」「マシンナーズ・スナイパー」「マシンナーズ・ディフェンダー」をそれぞれ１体ずつ選択して特殊召喚する。
540,サイファー・スカウター,効果,3,地,機械,1350,1800,79853073,このカードが戦士族モンスターと戦闘を行うダメージ計算時に発動する。このカードの攻撃力・守備力は、そのダメージ計算時のみ２０００ポイントアップする。
541,スフィア・ボム 球体時限爆弾,効果,4,闇,機械,1400,1400,26302522,(1)：裏側守備表示のこのカードが相手モンスターに攻撃されたダメージ計算前に発動する。このカードを装備カード扱いとしてその攻撃モンスターに装備する。(2)：このカードの効果でこのカードを装備した次の相手スタンバイフェイズに発動する。装備モンスターを破壊し、その攻撃力分のダメージを相手に与える。
542,強化支援メカ・ヘビーウェポン,ﾕﾆｵﾝ,3,闇,機械,500,500,23265594,(1)：１ターンに１度、以下の効果から１つを選択して発動できる。●自分フィールドの機械族モンスター１体を対象とし、このカードを装備カード扱いとしてそのモンスターに装備する。装備モンスターが戦闘・効果で破壊される場合、代わりにこのカードを破壊する。●装備されているこのカードを特殊召喚する。(2)：装備モンスターの攻撃力・守備力は５００アップする。
543,サイバー・ドラゴン,効果,5,光,機械,2100,1600,70095154,(1)：相手フィールドにモンスターが存在し、自分フィールドにモンスターが存在しない場合、このカードは手札から特殊召喚できる。
544,プロト・サイバー・ドラゴン,効果,3,光,機械,1100,600,26439287,このカードのカード名は、フィールド上に表側表示で存在する限り「サイバー・ドラゴン」として扱う。
